,country_code,region_name,iata,icao,airport,latitude,longitude,FIPS
7705,US,Virginia,NYG,KNYG,MCAF Quantico (Turner Field),38.5017,-77.3053,51179
7706,US,Alaska,KYK,PAKY,Karluk Airport,57.5671,-154.45,02150
7707,US,Utah,DPG,KDPG,Michael Army Airfield,40.1994,-112.937,49045
7708,US,Alabama,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),32.3006,-86.394,01101
7709,US,Alaska,WTK,PAWN,Noatak Airport,67.5661,-162.975,02188
7710,US,Alaska,WTL,,Tuntutuliak Airport,60.3353,-162.667,02050
7711,US,Illinois,DPA,KDPA,DuPage Airport,41.9078,-88.2486,17043
7712,US,California,NZY,KNZY,NAS North Island (Halsey Field),32.6992,-117.215,06073
7713,US,Alaska,KXA,,Kasaan Seaplane Base,55.5374,-132.398,02198
7714,US,Arizona,WTR,,Whiteriver Airport,33.8125,-109.987,04017
7715,US,Alaska,KWT,PFKW,Kwethluk Airport,60.7903,-161.444,02050
7716,US,North Carolina,OAJ,KOAJ,Albert J. Ellis Airport,34.8292,-77.6121,37133
7717,US,Delaware,DOV,KDOV,Dover Air Force Base,39.1295,-75.466,10001
7718,US,California,OAK,KOAK,Oakland International Airport,37.7213,-122.221,06001
7719,US,Alaska,KWP,,West Point Village Seaplane Base,57.7701,-153.549,
7720,US,California,OAR,KOAR,Marina Municipal Airport,36.6819,-121.762,06053
7721,US,Alaska,KWN,PAQH,Quinhagak Airport,59.7551,-161.845,02050
7722,US,Alaska,KWK,PAGG,Kwigillingok Airport,59.8765,-163.169,02050
7723,US,Florida,OBE,KOBE,Okeechobee County Airport,27.2628,-80.8498,12093
7724,US,Alaska,KWF,,Waterfall Seaplane Base,55.2963,-133.243,
7725,US,Alaska,OBU,PAOB,Kobuk Airport,66.9123,-156.897,02188
7726,US,Florida,OCA,,Ocean Reef Club Airport,25.3254,-80.2748,12087
7727,US,Alaska,KVL,PAVL,Kivalina Airport,67.7362,-164.563,
7728,US,California,WVI,KWVI,Watsonville Municipal Airport,36.9357,-121.79,06087
7729,US,Maryland,OCE,KOXB,Ocean City Municipal Airport,38.3104,-75.124,24047
7730,US,Maine,WVL,KWVL,Waterville Robert LaFleur Airport,44.5332,-69.6755,23011
7731,US,Illinois,DNV,KDNV,Vermilion Regional Airport,40.1992,-87.5959,17183
7732,US,Alaska,WWA,PAWS,Wasilla Airport,61.5717,-149.54,02170
7733,US,New Jersey,WWD,KWWD,Cape May Airport,39.0085,-74.9083,34009
7734,US,Iowa,DNS,KDNS,Denison Municipal Airport,41.9864,-95.3807,19047
7735,US,Florida,OCF,KOCF,Ocala International Airport (Jim Taylor Field),29.1726,-82.2242,12083
7736,US,Alaska,WWP,,North Whale Seaplane Base,56.1163,-133.122,02198
7737,US,Oklahoma,WWR,KWWR,West Woodward Airport,36.438,-99.5227,40153
7738,US,Alaska,WWT,PAEW,Newtok Airport,60.9391,-164.641,02050
7739,US,Texas,OCH,KOCH,A.L. Mangham Jr. Regional Airport,31.578,-94.7095,48347
7740,US,Georgia,DNN,KDNN,Dalton Municipal Airport,34.7229,-84.8702,13313
7741,US,Georgia,DNL,KDNL,Daniel Field,33.4665,-82.0394,13245
7742,US,Alaska,WYB,,Yes Bay Lodge Seaplane Base,55.9163,-131.801,02130
7743,US,California,OCN,KOKB,Oceanside Municipal Airport,33.2173,-117.354,06073
7744,US,Alaska,KVC,PAVC,King Cove Airport,55.1163,-162.266,02013
